processed
-1584.0 -1826.0 0.00000 0.00000 0.00000 0.05100 0.10200    -1360.0 -1826.0 0.00000 0.00000 0.00000 0.05100 0.10200    -1584.0 -1642.0 0.00000 0.00000 0.00000 0.05100 0.10200    -1360.0 -1642.0 0.00000 0.00000 0.00000 0.05100 0.10200  1
-3000.0 354.0 0.00000 0.00000 0.00000 1.00000 0.00000    -2832.0 354.0 0.00000 0.00000 0.00000 0.19900 0.24100    -3000.0 2942.0 0.00000 0.00000 0.00000 1.00000 0.00000    -2832.0 2942.0 0.00000 0.00000 0.00000 0.98244 0.00528  1
-2832.0 1296.0 0.00000 0.00000 0.00000 0.48416 0.15520    -2704.0 1296.0 0.00000 0.00000 0.00000 0.19900 0.24100    -2832.0 2192.0 0.00000 0.00000 0.00000 0.75540 0.07359    -2704.0 2192.0 0.00000 0.00000 0.00000 0.19900 0.24100  1
-2704.0 1360.0 0.00000 0.00000 0.00000 0.19900 0.24100    -2240.0 1360.0 0.00000 0.00000 0.00000 0.19900 0.24100    -2704.0 2224.0 0.00000 0.00000 0.00000 0.19900 0.24100    -2240.0 2224.0 0.00000 0.00000 0.00000 0.19900 0.24100  1
-2240.0 1432.0 0.00000 0.00000 0.00000 0.19900 0.24100    -2000.0 1432.0 0.00000 0.00000 0.00000 0.19900 0.24100    -2240.0 2224.0 0.00000 0.00000 0.00000 0.19900 0.24100    -2000.0 2224.0 0.00000 0.00000 0.00000 0.19900 0.24100  1
-2064.0 1312.0 0.00000 0.00000 0.00000 0.19900 0.24100    -2000.0 1312.0 0.00000 0.00000 0.00000 0.19900 0.24100    -2064.0 1432.0 0.00000 0.00000 0.00000 0.19900 0.24100    -2000.0 1432.0 0.00000 0.00000 0.00000 0.19900 0.24100  1
-2000.0 1392.0 0.00000 0.00000 0.00000 0.19900 0.24100    -1712.0 1392.0 0.00000 0.00000 0.00000 0.38511 0.38822    -2000.0 1792.0 0.00000 0.00000 0.00000 0.19900 0.24100    -1712.0 1792.0 0.00000 0.00000 0.00000 0.19900 0.24100  1
-2000.0 1792.0 0.00000 0.00000 0.00000 0.19900 0.24100    -1724.0 1792.0 0.00000 0.00000 0.00000 0.19900 0.24100    -2000.0 2016.0 0.00000 0.00000 0.00000 0.19900 0.24100    -1724.0 2016.0 0.00000 0.00000 0.00000 0.19900 0.24100  1
-2000.0 2016.0 0.00000 0.00000 0.00000 0.19900 0.24100    -1836.0 2016.0 0.00000 0.00000 0.00000 0.19900 0.24100    -2000.0 2176.0 0.00000 0.00000 0.00000 0.19900 0.24100    -1836.0 2176.0 0.00000 0.00000 0.00000 0.19900 0.24100  1
-2000.0 2176.0 0.00000 0.00000 0.00000 0.19900 0.24100    -1920.0 2176.0 0.00000 0.00000 0.00000 0.19900 0.24100    -2000.0 2224.0 0.00000 0.00000 0.00000 0.19900 0.24100    -1920.0 2224.0 0.00000 0.00000 0.00000 0.19900 0.24100  1
-2208.0 2224.0 0.00000 0.00000 0.00000 0.19900 0.24100    -2000.0 2224.0 0.00000 0.00000 0.00000 0.19900 0.24100    -2208.0 2432.0 0.00000 0.00000 0.00000 0.19900 0.24100    -2000.0 2432.0 0.00000 0.00000 0.00000 0.19900 0.24100  1
-2208.0 2432.0 0.00000 0.00000 0.00000 0.19900 0.24100    -2000.0 2432.0 0.00000 0.00000 0.00000 0.19900 0.24100    -2208.0 2576.0 0.00000 0.00000 0.00000 0.19900 0.24100    -2000.0 2576.0 0.00000 0.00000 0.00000 0.19900 0.24100  1
-2352.0 2448.0 0.00000 0.00000 0.00000 0.19900 0.24100    -2208.0 2448.0 0.00000 0.00000 0.00000 0.19900 0.24100    -2352.0 2576.0 0.00000 0.00000 0.00000 0.19900 0.24100    -2208.0 2576.0 0.00000 0.00000 0.00000 0.19900 0.24100  1
-2312.0 2344.0 0.00000 0.00000 0.00000 0.19900 0.24100    -2208.0 2344.0 0.00000 0.00000 0.00000 0.19900 0.24100    -2312.0 2448.0 0.00000 0.00000 0.00000 0.19900 0.24100    -2208.0 2448.0 0.00000 0.00000 0.00000 0.19900 0.24100  1
-1712.0 1360.0 0.00000 0.00000 0.00000 0.40000 0.40000    -1600.0 1360.0 0.00000 0.00000 0.00000 0.40000 0.40000    -1712.0 1792.0 0.00000 0.00000 0.00000 0.19900 0.24100    -1600.0 1792.0 0.00000 0.00000 0.00000 0.40000 0.40000  1
-1664.0 1280.0 0.00000 0.00000 0.00000 0.40000 0.40000    -1600.0 1280.0 0.00000 0.00000 0.00000 0.40000 0.40000    -1664.0 1360.0 0.00000 0.00000 0.00000 0.40000 0.40000    -1600.0 1360.0 0.00000 0.00000 0.00000 0.40000 0.40000  1
-1600.0 1280.0 0.00000 0.00000 0.00000 0.40000 0.40000    -1440.0 1280.0 0.00000 0.00000 0.00000 0.33373 0.34757    -1600.0 1696.0 0.00000 0.00000 0.00000 0.40000 0.40000    -1440.0 1696.0 0.00000 0.00000 0.00000 0.99000 0.41000  1
-1600.0 1696.0 0.00000 0.00000 0.00000 0.40000 0.40000    -1488.0 1696.0 0.00000 0.00000 0.00000 0.81300 0.40700    -1600.0 1744.0 0.00000 0.00000 0.00000 0.40000 0.40000    -1488.0 1744.0 0.00000 0.00000 0.00000 0.19900 0.24100  1
-1440.0 1440.0 0.00000 0.00000 0.00000 0.58614 0.37158    -1232.0 1440.0 0.00000 0.00000 0.00000 0.32125 0.28224    -1440.0 1696.0 0.00000 0.00000 0.00000 0.99000 0.41000    -1232.0 1696.0 0.00000 0.00000 0.00000 0.19900 0.24100  1
-1232.0 1440.0 0.00000 0.00000 0.00000 0.32125 0.28224    -1136.0 1440.0 0.00000 0.00000 0.00000 0.19900 0.24100    -1232.0 1616.0 0.00000 0.00000 0.00000 0.23720 0.25389    -1136.0 1616.0 0.00000 0.00000 0.00000 0.19900 0.24100  1
-1440.0 1280.0 0.00000 0.00000 0.00000 0.33373 0.34757    -1136.0 1280.0 0.00000 0.00000 0.00000 0.20780 0.24796    -1440.0 1440.0 0.00000 0.00000 0.00000 0.58614 0.37158    -1136.0 1440.0 0.00000 0.00000 0.00000 0.19900 0.24100  1
-1136.0 1248.0 0.00000 0.00000 0.00000 0.20956 0.24936    -1104.0 1248.0 0.00000 0.00000 0.00000 0.19900 0.24100    -1136.0 1424.0 0.00000 0.00000 0.00000 0.19988 0.24170    -1104.0 1424.0 0.00000 0.00000 0.00000 0.19900 0.24100  1
-1520.0 1104.0 0.00000 0.00000 0.00000 0.19900 0.24100    -1104.0 1104.0 0.00000 0.00000 0.00000 0.25334 0.28399    -1520.0 1248.0 0.00000 0.00000 0.00000 0.33634 0.34964    -1104.0 1248.0 0.00000 0.00000 0.00000 0.19900 0.24100  1
-1520.0 1248.0 0.00000 0.00000 0.00000 0.33634 0.34964    -1136.0 1248.0 0.00000 0.00000 0.00000 0.20956 0.24936    -1520.0 1280.0 0.00000 0.00000 0.00000 0.36686 0.37379    -1136.0 1280.0 0.00000 0.00000 0.00000 0.20780 0.24796  1
-1600.0 1200.0 0.00000 0.00000 0.00000 0.19900 0.24100    -1520.0 1200.0 0.00000 0.00000 0.00000 0.29056 0.31343    -1600.0 1280.0 0.00000 0.00000 0.00000 0.40000 0.40000    -1520.0 1280.0 0.00000 0.00000 0.00000 0.36686 0.37379  1
-1104.0 944.0 0.00000 0.00000 0.00000 0.31365 0.33170    -932.0 944.0 0.00000 0.00000 0.00000 0.37528 0.38044    -1104.0 1136.0 0.00000 0.00000 0.00000 0.24126 0.27443    -932.0 1136.0 0.00000 0.00000 0.00000 0.40000 0.40000  1
-1424.0 944.0 0.00000 0.00000 0.00000 0.19900 0.24100    -1104.0 944.0 0.00000 0.00000 0.00000 0.31365 0.33170    -1424.0 1104.0 0.00000 0.00000 0.00000 0.21154 0.25092    -1104.0 1104.0 0.00000 0.00000 0.00000 0.25334 0.28399  1
-1520.0 1008.0 0.00000 0.00000 0.00000 0.19900 0.24100    -1424.0 1008.0 0.00000 0.00000 0.00000 0.20402 0.24497    -1520.0 1104.0 0.00000 0.00000 0.00000 0.19900 0.24100    -1424.0 1104.0 0.00000 0.00000 0.00000 0.21154 0.25092  1
-1424.0 784.0 0.00000 0.00000 0.00000 0.19900 0.24100    -896.0 784.0 0.00000 0.00000 0.00000 0.19900 0.24100    -1424.0 944.0 0.00000 0.00000 0.00000 0.19900 0.24100    -896.0 944.0 0.00000 0.00000 0.00000 0.38818 0.39065  1
-1488.0 560.0 0.00000 0.00000 0.00000 0.19151 0.23197    -896.0 560.0 0.00000 0.00000 0.00000 0.15100 0.18313    -1488.0 784.0 0.00000 0.00000 0.00000 0.19900 0.24100    -896.0 784.0 0.00000 0.00000 0.00000 0.19900 0.24100  1
-1536.0 560.0 0.00000 0.00000 0.00000 0.19464 0.23574    -1488.0 560.0 0.00000 0.00000 0.00000 0.19151 0.23197    -1536.0 672.0 0.00000 0.00000 0.00000 0.19900 0.24100    -1488.0 672.0 0.00000 0.00000 0.00000 0.19526 0.23649  1
-896.0 208.0 0.00000 0.00000 0.00000 0.07303 0.08914    -768.0 208.0 0.00000 0.00000 0.00000 0.03377 0.04181    -896.0 732.0 0.00000 0.00000 0.00000 0.18786 0.22757    -768.0 732.0 0.00000 0.00000 0.00000 0.40000 0.40000  1
-1600.0 208.0 0.00000 0.00000 0.00000 0.19900 0.24100    -896.0 208.0 0.00000 0.00000 0.00000 0.07303 0.08914    -1600.0 560.0 0.00000 0.00000 0.00000 0.19900 0.24100    -896.0 560.0 0.00000 0.00000 0.00000 0.15100 0.18313  1
-992.0 -144.0 0.00000 0.00000 0.00000 0.19900 0.24100    -912.0 -144.0 0.00000 0.00000 0.00000 0.19900 0.24100    -992.0 208.0 0.00000 0.00000 0.00000 0.09021 0.10985    -912.0 208.0 0.00000 0.00000 0.00000 0.07589 0.09259  1
-1748.0 -816.0 0.00000 0.00000 0.00000 0.19900 0.24100    -1180.0 -816.0 0.00000 0.00000 0.00000 0.19900 0.24100    -1748.0 -592.0 0.00000 0.00000 0.00000 0.19900 0.24100    -1180.0 -592.0 0.00000 0.00000 0.00000 0.19900 0.24100  1
-1458.0 -592.0 0.00000 0.00000 0.00000 0.19900 0.24100    -1054.0 -592.0 0.00000 0.00000 0.00000 0.19900 0.24100    -1458.0 -432.0 0.00000 0.00000 0.00000 0.19900 0.24100    -1054.0 -432.0 0.00000 0.00000 0.00000 0.19900 0.24100  1
-3000.0 -1186.0 0.00000 0.00000 0.00000 1.00000 0.00000    -2880.0 -1186.0 0.00000 0.00000 0.00000 0.05100 0.10200    -3000.0 -822.0 0.00000 0.00000 0.00000 1.00000 0.00000    -2880.0 -822.0 0.00000 0.00000 0.00000 0.05100 0.10200  1
-2880.0 -1168.0 0.00000 0.00000 0.00000 0.05100 0.10200    -2768.0 -1168.0 0.00000 0.00000 0.00000 0.05100 0.10200    -2880.0 -896.0 0.00000 0.00000 0.00000 0.05100 0.10200    -2768.0 -896.0 0.00000 0.00000 0.00000 0.05100 0.10200  1
-2768.0 -1106.0 0.00000 0.00000 0.00000 0.05100 0.10200    -2656.0 -1106.0 0.00000 0.00000 0.00000 0.05100 0.10200    -2768.0 -830.0 0.00000 0.00000 0.00000 0.05100 0.10200    -2656.0 -830.0 0.00000 0.00000 0.00000 0.05100 0.10200  1
-2656.0 -1024.0 0.00000 0.00000 0.00000 0.05100 0.10200    -2512.0 -1024.0 0.00000 0.00000 0.00000 0.05100 0.10200    -2656.0 -816.0 0.00000 0.00000 0.00000 0.05100 0.10200    -2512.0 -816.0 0.00000 0.00000 0.00000 0.05100 0.10200  1
-2512.0 -976.0 0.00000 0.00000 0.00000 0.05100 0.10200    -2400.0 -976.0 0.00000 0.00000 0.00000 0.05100 0.10200    -2512.0 -816.0 0.00000 0.00000 0.00000 0.05100 0.10200    -2400.0 -816.0 0.00000 0.00000 0.00000 0.05100 0.10200  1
-2400.0 -1056.0 0.00000 0.00000 0.00000 0.05100 0.10200    -2256.0 -1056.0 0.00000 0.00000 0.00000 0.05100 0.10200    -2400.0 -864.0 0.00000 0.00000 0.00000 0.05100 0.10200    -2256.0 -864.0 0.00000 0.00000 0.00000 0.05100 0.10200  1
-2256.0 -1198.0 0.00000 0.00000 0.00000 0.05100 0.10200    -2144.0 -1198.0 0.00000 0.00000 0.00000 0.05100 0.10200    -2256.0 -950.0 0.00000 0.00000 0.00000 0.05100 0.10200    -2144.0 -950.0 0.00000 0.00000 0.00000 0.05100 0.10200  1
-2144.0 -1408.0 0.00000 0.00000 0.00000 0.05100 0.10200    -2000.0 -1408.0 0.00000 0.00000 0.00000 0.05100 0.10200    -2144.0 -1072.0 0.00000 0.00000 0.00000 0.05100 0.10200    -2000.0 -1072.0 0.00000 0.00000 0.00000 0.05100 0.10200  1
-2000.0 -1536.0 0.00000 0.00000 0.00000 0.05100 0.10200    -1856.0 -1536.0 0.00000 0.00000 0.00000 0.05100 0.10200    -2000.0 -1280.0 0.00000 0.00000 0.00000 0.05100 0.10200    -1856.0 -1280.0 0.00000 0.00000 0.00000 0.05100 0.10200  1
-1856.0 -1648.0 0.00000 0.00000 0.00000 0.05100 0.10200    -1728.0 -1648.0 0.00000 0.00000 0.00000 0.05100 0.10200    -1856.0 -1440.0 0.00000 0.00000 0.00000 0.05100 0.10200    -1728.0 -1440.0 0.00000 0.00000 0.00000 0.05100 0.10200  1
-1728.0 -1728.0 0.00000 0.00000 0.00000 0.05100 0.10200    -1584.0 -1728.0 0.00000 0.00000 0.00000 0.05100 0.10200    -1728.0 -1520.0 0.00000 0.00000 0.00000 0.05100 0.10200    -1584.0 -1520.0 0.00000 0.00000 0.00000 0.05100 0.10200  1
-1360.0 -2052.0 0.00000 0.00000 0.00000 0.05100 0.10200    -1216.0 -2052.0 0.00000 0.00000 0.00000 0.05100 0.10200    -1360.0 -1696.0 0.00000 0.00000 0.00000 0.05100 0.10200    -1216.0 -1696.0 0.00000 0.00000 0.00000 0.05100 0.10200  1
